YYYYMM,Natural Gas Gross Withdrawals,Natural Gas Marketed Production (Wet),NGPL Production,Natural Gas Production (Dry),Supplemental Gaseous Fuels,Natural Gas Imports,Natural Gas Exports,Natural Gas Net Imports,Natural Gas Net Storage Withdrawals,Natural Gas Balancing Item,Natural Gas Consumption
200102,1910.051,1582.557,73.394,1509.163,7.331,328.289,26.882,301.408,348.142,143.42,2309.464
200103,2116.381,1766.754,81.936,1684.817,7.995,358.103,32.121,325.982,187.331,40.508,2246.633
200104,2028.145,1703.31,78.994,1624.316,6.456,318.573,23.637,294.936,-284.127,165.589,1807.17
200105,2070.749,1763.141,81.769,1681.372,6.193,321.878,28.981,292.897,-487.75,29.67,1522.382
200106,1993.266,1685.568,78.171,1607.397,5.633,317.414,24.554,292.86,-448.825,-12.687,1444.378
200107,2041.97,1737.185,80.565,1656.62,7.494,364.571,31.219,333.352,-391.874,-7.522,1598.071
200108,2056.737,1737.283,80.57,1656.714,6.483,353.338,28.965,324.373,-312.751,-5.639,1669.178
200109,2009.185,1688.682,78.316,1610.366,6.734,314.864,33.517,281.347,-378.674,-25.646,1494.128
200110,2097.034,1757.397,81.502,1675.894,7.138,326.114,34.452,291.662,-192.991,-132.631,1649.073
200111,2006.035,1671.377,77.513,1593.864,7.747,291.044,41.84,249.204,-73.996,-75.869,1700.95
200112,2074.278,1723.803,79.944,1643.859,8.355,309.673,41.564,268.109,360.894,-161.019,2120.198
200201,2057.728,1700.744,81.851,1618.892,6.108,343.481,34.491,308.989,557.693,-4.043,2487.638
200202,1858.737,1522.916,73.293,1449.623,5.567,305.917,30.383,275.534,473.624,38.079,2242.427
200203,2061.811,1701.456,81.886,1619.57,6.497,332.596,38.141,294.456,326.647,11.261,2258.431
200204,1978.245,1644.193,79.13,1565.063,4.74,315.116,39.194,275.922,-129.161,164.421,1880.985
200205,2027.979,1711.242,82.357,1628.885,4.784,319.404,39.459,279.945,-330.209,28.047,1611.453
200206,1969.276,1648.568,79.34,1569.228,4.557,318.002,44.939,273.063,-350.173,94.698,1591.373
200207,2036.905,1719.187,82.739,1636.448,6.104,344.641,45.032,299.608,-247.988,54.263,1748.435
200208,2018.574,1684.34,81.062,1603.278,5.74,356.013,46.511,309.501,-242.157,49.349,1725.712
200209,1922.715,1592.968,76.665,1516.304,5.001,335.594,46.563,289.031,-275.953,7.788,1542.17
200210,1976.488,1630.246,78.459,1551.787,6.067,343.427,42.109,301.318,-89.275,-124.023,1645.873
200211,1979.436,1634.246,78.651,1555.595,6.278,330.544,54.589,275.955,202.134,-126.334,1913.629
200212,2053.385,1694.674,81.559,1613.115,6.537,370.729,54.821,315.908,571.935,-128.599,2378.895
200301,2056.766,1690.682,74.131,1616.551,6.122,359.168,58.449,300.719,863.065,-85.911,2700.545
200302,1880.691,1537.109,67.398,1469.711,5.796,308.804,56.393,252.411,695.985,76.412,2500.315
200303,2104.114,1739.241,76.26,1662.98,5.475,324.364,51.851,272.514,139.134,117.834,2197.936
200304,2007.565,1665.329,73.02,1592.31,4.594,314.655,48.831,265.823,-162.037,42.839,1743.53
200305,2016.922,1700.46,74.56,1625.9,5.768,325.157,48.519,276.638,-423.28,29.671,1514.697
200306,1970.13,1646.69,72.202,1574.488,4.803,306.878,51.924,254.955,-482.202,16.325,1368.369
200307,1991.705,1667.181,73.101,1594.08,5.793,340.532,48.707,291.825,-371.327,80.113,1600.484
200308,2033.633,1701.056,74.586,1626.469,6.152,331.628,50.962,280.666,-319.008,57.301,1651.58
200309,1976.511,1638.825,71.858,1566.968,4.936,320.676,53.337,267.339,-422.36,11.671,1428.554
200310,2057.161,1694.596,74.303,1620.293,5.268,331.005,62.314,268.691,-291.948,-49.115,1553.189
200311,1977.961,1620.085,71.036,1549.049,6.338,316.721,71.867,244.854,89.023,-135.623,1753.642
200312,2045.819,1673.106,73.361,1599.746,6.661,364.161,76.769,287.392,487.759,-117.899,2263.659
200401,2062.805,1674.398,79.493,1594.905,6.433,373.195,67.024,306.172,834.666,-66.341,2675.834
200402,1920.843,1551.457,73.656,1477.801,6.074,345.93,69.805,276.125,616.816,134.281,2511.097
200403,2076.537,1685.174,80.004,1605.17,5.826,348.992,90.982,258.01,106.231,125.684,2100.921
200404,1995.315,1629.22,77.348,1551.873,5.249,325.105,61.916,263.189,-207.706,132.567,1745.171
200405,2001.333,1654.209,78.534,1575.675,5.973,326.541,60.968,265.573,-390.565,116.388,1573.043
200406,1965.797,1619.097,76.867,1542.23,1.435,341.934,64.227,277.707,-408.909,71.221,1483.684
200407,2019.157,1668.49,79.212,1589.277,2.502,374.651,67.031,307.62,-372.703,58.237,1584.933
200408,2016.57,1654.093,78.529,1575.564,4.94,360.244,67.491,292.753,-355.727,60.432,1577.962
200409,1909.243,1550.376,73.605,1476.771,5.237,344.621,74.439,270.181,-332.837,62.797,1482.15
200410,2009.174,1620.423,76.93,1543.492,5.755,335.533,61.174,274.359,-252.917,-13.466,1557.224
200411,1969.226,1583.72,75.188,1508.532,5.775,368.685,86.431,282.254,65.201,-78.965,1782.796
200412,2023.68,1626.834,77.235,1549.599,5.167,413.128,82.649,330.479,584.179,-141.694,2327.73
200501,2035.036,1632.685,75.608,1557.077,4.016,405.016,91.395,313.621,728.368,-41.225,2561.858
200502,1870.546,1498.281,69.384,1428.897,5.14,356.495,89.576,266.919,438.293,103.738,2242.986
200503,2080.504,1687.347,78.14,1609.208,6.098,379.65,96.22,283.43,292.61,14.442,2205.787
200504,1979.474,1614.614,74.771,1539.843,5.04,326.147,55.538,270.61,-222.066,131.451,1724.877
200505,2010.625,1652.081,76.506,1575.574,4.143,333.997,58.944,275.053,-392.241,60.083,1522.613
200506,1972.975,1611.743,74.638,1537.105,5.32,321.71,54.807,266.903,-332.72,57.514,1534.122
200507,1984.143,1627.427,75.365,1552.062,5.325,386.093,55.048,331.045,-263.803,61.979,1686.609
200508,1988.105,1619.414,74.994,1544.42,5.546,351.805,51.987,299.818,-220.955,66.272,1695.102
200509,1766.603,1400.941,64.876,1336.065,5.473,345.907,43.824,302.083,-280.275,59.149,1422.495
200510,1871.19,1475.622,68.335,1407.287,5.989,366.305,41.025,325.28,-273.309,-37.02,1428.227
200511,1901.758,1514.407,70.131,1444.276,5.665,359.387,44.964,314.423,12.63,-113.596,1663.4
200512,1995.862,1592.533,73.749,1518.785,5.935,408.522,45.272,363.249,565.079,-126.688,2326.36
200601,1975.168,1611,75.204,1535.797,5.573,360.316,55.6,304.716,270.544,48.638,2165.268
200602,1794.241,1450.983,67.734,1383.249,5.705,321.045,58.766,262.279,494.751,-1.606,2144.378
200603,1994.464,1631.383,76.155,1555.228,6.013,348.293,69.434,278.859,205.878,80.391,2126.369
200604,1908.987,1570.546,73.315,1497.231,4.905,332.248,45.181,287.067,-260.451,152.253,1681.005
200605,1956.52,1632.139,76.19,1555.948,3.987,350.535,62.557,287.977,-374.269,52.653,1526.297
200606,1938.796,1614.061,75.346,1538.715,5.719,348.095,65.708,282.387,-317.138,41.197,1550.879
200607,1975.235,1650.313,77.039,1573.274,5.414,370.925,58.874,312.05,-165.554,33.549,1758.733
200608,1989.43,1656.034,77.306,1578.728,5.526,364.972,54.739,310.233,-193.67,50.867,1751.683
200609,1946.109,1617.442,75.504,1541.937,5.454,333.514,52.583,280.931,-364.04,-2.213,1462.07
200610,2025.782,1675.387,78.209,1597.178,5.813,334.016,58.904,275.111,-135.053,-98.818,1644.231
200611,1974.331,1615.322,75.405,1539.917,5.623,339.118,69.688,269.43,51.263,-100.857,1765.375
200612,2055.955,1685.065,78.661,1606.404,6.328,383.205,71.923,311.281,351.395,-152.624,2122.784
200701,2042.882,1652.47,76.119,1576.351,6.19,393.14,69.221,323.919,697.073,-128.808,2474.725
200702,1878.003,1513.461,69.716,1443.745,5.477,372.874,56.539,316.335,746.464,53.932,2565.953
200703,2094.555,1703.085,78.451,1624.634,5.933,401.779,77.036,324.744,55.449,117.57,2128.33
200704,1994.942,1626.673,74.931,1551.743,5.029,386.837,50.736,336.101,-124.992,41.903,1809.783
200705,2066.642,1722.549,79.347,1643.202,3.921,380.213,62.477,317.735,-469.139,64.65,1560.369
200706,2019.862,1666.465,76.764,1589.702,5.215,381.47,57.309,324.161,-397.888,34.567,1555.757
200707,2053.286,1703.237,78.458,1624.779,5.107,418.576,70.66,347.916,-321.265,4.277,1660.814
200708,2076.235,1712.771,78.897,1633.875,5.422,426.534,61.87,364.664,-132.308,25.021,1896.674
200709,2040.241,1674.745,77.145,1597.6,5.423,361.383,65.077,296.306,-305.352,-3.321,1590.656
200710,2122.193,1733.373,79.846,1653.527,5.245,347.224,63.576,283.649,-262.94,-51.879,1627.602
