YYYYMM,Natural Gas Gross Withdrawals,Natural Gas Marketed Production (Wet),NGPL Production,Natural Gas Production (Dry),Supplemental Gaseous Fuels,Natural Gas Imports,Natural Gas Exports,Natural Gas Net Imports,Natural Gas Net Storage Withdrawals,Natural Gas Balancing Item,Natural Gas Consumption
202001,3598.402,3257.533,239.079,3018.453,5.571,262.08,510.444,-248.363,580.617,-26.456,3329.822
202002,3366.311,2992.845,223.394,2769.451,5.206,238.328,454.245,-215.917,545.043,-39.115,3064.668
202003,3579.884,3192.036,239.233,2952.802,5.575,213.231,497.437,-284.206,53.442,0.369,2727.983
202004,3375.996,3076.174,225.432,2850.742,5.253,190.049,420.767,-230.717,-311.296,-48.054,2265.928
202005,3290.613,2942.912,219.084,2723.828,5.105,186.518,395.472,-208.954,-454.122,13.063,2078.92
202006,3220.917,2927.068,215.04,2712.029,5.011,187.478,338.486,-151.009,-363.137,-66.428,2136.466
202007,3386.52,3026.78,226.142,2800.638,5.27,210.419,349.167,-138.748,-164.823,-31.696,2470.641
202008,3368.303,3027.588,225.412,2802.176,5.253,211.352,360.23,-148.878,-232.198,-19.733,2406.619
202009,3274.179,2957.168,218.375,2738.793,5.089,174.225,395.424,-221.199,-328.688,-34.781,2159.214
202010,3381.515,3004.869,223.934,2780.936,5.218,199.306,481.621,-282.314,-95.724,-85.298,2322.819
202011,3371.22,2998.371,223.387,2774.983,5.206,211.57,528.21,-316.64,-6.362,-8.321,2448.866
202012,3516.066,3117.483,231.185,2886.298,5.387,266.618,553.176,-286.558,597.482,-11.991,3190.619
202101,3504.128,3105.581,233.604,2871.976,5.493,284.065,563.515,-279.45,718.754,18.446,3335.219
202102,2938.642,2597.23,195.366,2401.865,4.594,271.877,424.004,-152.127,794.993,46.392,3095.717
202103,3509.749,3136.068,235.898,2900.17,5.547,238.724,595.411,-356.687,63.811,27.261,2640.102
202104,3428.387,3058.663,230.075,2828.588,5.41,208.369,564.333,-355.964,-179.528,-26.884,2271.622
202105,3524.82,3158.085,237.554,2920.531,5.586,204.89,578.056,-373.167,-423.499,-13.032,2116.42
202106,3389.749,3045.264,229.067,2816.197,5.387,207.859,539.165,-331.305,-253.915,5.668,2242.031
202107,3508.68,3176.507,238.939,2937.568,5.619,227.779,566.046,-338.268,-174.911,-12.417,2417.59
202108,3534.922,3185.92,239.647,2946.272,5.635,220.959,563.572,-342.614,-164.45,-8.578,2436.266
202109,3440.723,3104.078,233.491,2870.587,5.491,220.206,535.583,-315.377,-397.689,-24.801,2138.211
202110,3612.938,3258.481,245.106,3013.375,5.764,228.203,545.055,-316.852,-367.579,-75.381,2259.328
202111,3564.46,3188.958,239.876,2949.082,5.641,242.405,556.982,-314.578,136.738,-91.905,2684.978
202112,3719.546,3323.025,249.961,3073.064,5.878,252.626,620.886,-368.26,330.302,-32.762,3008.222
202201,3593.563,3201.112,250.242,2950.871,5.955,296.248,610.836,-314.587,1013.843,-74.024,3582.058
202202,3270.055,2918.981,228.186,2690.795,5.431,257.977,546.428,-288.45,672.768,-28.109,3052.434
202203,3665.056,3284.763,256.781,3027.982,6.111,259.499,639.074,-379.575,170.794,-43.544,2781.768
202204,3578.937,3210.082,250.943,2959.139,5.972,244.998,587.385,-342.387,-220.487,-44.049,2358.188
202205,3682.519,3319.38,259.487,3059.893,6.176,230.899,616.665,-385.766,-412.347,-27.732,2240.224
202206,3554.842,3221.895,251.866,2970.029,5.994,228.882,553.76,-324.877,-331.936,-2.116,2317.094
202207,3716.069,3355.846,262.338,3093.508,6.243,257.197,559.842,-302.645,-186.913,-20.591,2589.602
202208,3715.517,3377.619,264.04,3113.58,6.284,235.884,558.031,-322.147,-213.495,-17.52,2566.702
202209,3658.031,3319.341,259.484,3059.857,6.175,233.927,526.465,-292.538,-446.16,-33.803,2293.531
202210,3799.767,3423.89,267.657,3156.233,6.37,239.507,554.328,-314.822,-431.935,-53.423,2362.424
202211,3703.209,3317.599,259.348,3058.251,6.172,246.184,555.018,-308.834,78.006,-64.649,2768.946
202212,3763.363,3378.949,264.144,3114.806,6.286,292.94,598.601,-305.661,588.207,-24.697,3378.941
202301,3826.971,3434.107,283.287,3150.819,7.218,275.207,608.64,-333.433,466.455,74.573,3365.633
202302,3447.686,3093.823,255.217,2838.606,6.503,243.911,574.806,-330.895,408.59,79.173,3001.977
202303,3846.353,3473.392,286.528,3186.863,7.301,249.499,650.421,-400.923,230.695,48.965,3072.902
202304,3706.48,3331.577,274.829,3056.748,7.003,220.37,620.732,-400.363,-274.922,66.869,2455.335
202305,3858.324,3482.871,287.31,3195.561,7.321,216.127,638.419,-422.291,-460.925,25.24,2344.906
202306,3713.812,3358.27,277.031,3081.239,7.059,231.536,607.342,-375.806,-350.849,40.727,2402.37
202307,3808.672,3477.598,286.875,3190.723,7.31,256.072,634.521,-378.449,-138.735,31.655,2712.504
202308,3818.876,3501.86,288.876,3212.983,7.361,246.415,634.536,-388.12,-138.806,31.066,2724.483
202309,3731.109,3392.913,279.889,3113.024,7.132,229.99,625.661,-395.671,-330.656,27.517,2421.346
202310,3876.84,3501.919,288.881,3213.038,7.361,230.951,651.843,-420.892,-328.408,7.769,2478.867
202311,3809.798,3437.418,283.56,3153.857,7.225,251.022,654.268,-403.246,70.201,40.061,2868.099
202312,3954.749,3551.988,293.012,3258.976,7.466,276.838,708.845,-432.007,292.342,100.492,3227.268
202401,3871.687,3474.976,272.135,3202.796,9.582,322.967,673.956,-350.989,1019.688,-99.457,3781.62
202402,3723.064,3344.495,276.696,3067.775,8.041,258.266,643.492,-385.226,317.264,4.186,3012.038
202403,3880.171,3482.741,305.715,3177.023,8.246,243.39,667.947,-424.557,55.626,24.47,2840.807
202404,3716.214,3348.647,301.532,3047.121,7.803,221.891,567.188,-345.297,-309.172,35.352,2435.807
202405,3834.297,3457.982,314.922,3143.071,7.891,238.448,646.363,-407.915,-437.808,69.655,2374.894
202406,3731.374,3382.183,302.49,3079.698,7.11,246.724,626.734,-380.01,-306.224,65.008,2465.582
202407,3889.543,3532.395,308.271,3224.119,8.382,271.418,608.089,-336.671,-144.36,33.108,2784.579
202408,3849.769,3504.336,313.319,3191.022,8.023,260.866,650.237,-389.371,-94.946,49.072,2763.8
202409,3705.118,3359.526,308.912,3050.628,6.591,246.54,638.271,-391.731,-302.2,88.302,2451.591
202410,3889.01,3509.502,323.548,3185.971,7.115,253.943,649.27,-395.327,-395.272,67.537,2470.024
202411,3785.826,3400.222,313.861,3086.378,7.514,270.42,639.524,-369.103,27.975,-4.318,2748.445
202412,3991.689,3586.889,317.561,3269.329,9.8,309.674,695.497,-385.823,575.043,-57.887,3410.461
202501,3932.656,3533.69,298.146,3235.544,13.816,335.685,694.304,-358.62,1009.54,23.855,3924.136
202502,3579.361,3217.762,278.767,2938.995,11.486,295.54,683.448,-387.907,635.824,39.6,3237.998
202503,4057.699,3656.87,325.923,3330.947,10.627,263.12,753.25,-490.129,-48.27,-40.267,2762.907
202504,3905.771,3527.726,316.844,3210.882,9.406,236.258,725.061,-488.803,-304.265,-44.263,2382.957
202505,4023.659,3639.248,333.537,3305.711,8.501,240.509,735.679,-495.169,-497.26,-9.873,2311.91
202506,3904.576,3548.671,322.312,3226.358,7.841,246.436,691.728,-445.292,-355.004,-14.086,2419.817
202507,4022.627,3692.035,337.529,3354.506,9.675,257.86,719.743,-461.883,-151.128,-29.815,2721.356
202508,4067.876,3716.035,343.139,3372.895,9.539,237.779,761.61,-523.831,-185.877,-27.367,2645.359
202509,3937.62,3587.1,339.62,3247.48,9.217,225.756,726.9,-501.144,-309.181,-19.833,2426.539
